# $ this file belongs to the Molcas repository $
# this file defines aliases for basis set for.each atom
# Format:
#Basis_name Alias(real file)
#H.Ano-s   H.Ano-s...1s.
#

N.ANO-S-VDZP                             N.ANO-S...3s2p1d.
N.ANO-S-VTZP                             N.ANO-S...4s3p2d.
O.ANO-S-MB                               O.ANO-S...2s1p.
O.ANO-S-VDZ                              O.ANO-S...3s2p.
O.ANO-S-VDZP                             O.ANO-S...3s2p1d.
O.ANO-S-VTZP                             O.ANO-S...4s3p2d.
F.ANO-S-MB                               F.ANO-S...2s1p.
F.ANO-S-VDZ                              F.ANO-S...3s2p.
F.ANO-S-VDZP                             F.ANO-S...3s2p1d.
F.ANO-S-VTZP                             F.ANO-S...4s3p2d.
Ne.ANO-S-MB                              Ne.ANO-S...2s1p.
Ne.ANO-S-VDZ                             Ne.ANO-S...3s2p.
Ne.ANO-S-VDZP                            Ne.ANO-S...3s2p1d.
Ne.ANO-S-VTZP                            Ne.ANO-S...4s3p2d.
Na.ANO-S-MB                              Na.ANO-S...3s2p.
Na.ANO-S-VDZ                             Na.ANO-S...4s3p.
Na.ANO-S-VDZP                            Na.ANO-S...4s3p1d.
Na.ANO-S-VTZP                            Na.ANO-S...5s4p2d.
Mg.ANO-S-MB                              Mg.ANO-S...3s2p.
Mg.ANO-S-VDZ                             Mg.ANO-S...4s3p.
Mg.ANO-S-VDZP                            Mg.ANO-S...4s3p1d.
Mg.ANO-S-VTZP                            Mg.ANO-S...5s4p2d.
Al.ANO-S-MB                              Al.ANO-S...3s2p.
Al.ANO-S-VDZ                             Al.ANO-S...4s3p.
Al.ANO-S-VDZP                            Al.ANO-S...4s3p1d.
Al.ANO-S-VTZP                            Al.ANO-S...5s4p2d.
Si.ANO-S-MB                              Si.ANO-S...3s2p.
Si.ANO-S-VDZ                             Si.ANO-S...4s3p.
Si.ANO-S-VDZP                            Si.ANO-S...4s3p1d.
Si.ANO-S-VTZP                            Si.ANO-S...5s4p2d.
P.ANO-S-MB                               P.ANO-S...3s2p.
P.ANO-S-VDZ                              P.ANO-S...4s3p.
P.ANO-S-VDZP                             P.ANO-S...4s3p1d.
P.ANO-S-VTZP                             P.ANO-S...5s4p2d.
S.ANO-S-MB                               S.ANO-S...3s2p.
S.ANO-S-VDZ                              S.ANO-S...4s3p.
S.ANO-S-VDZP                             S.ANO-S...4s3p1d.
S.ANO-S-VTZP                             S.ANO-S...5s4p2d.
Cl.ANO-S-MB                              Cl.ANO-S...3s2p.
Cl.ANO-S-VDZ                             Cl.ANO-S...4s3p.
Cl.ANO-S-VDZP                            Cl.ANO-S...4s3p1d.
Cl.ANO-S-VTZP                            Cl.ANO-S...5s4p2d.
Ar.ANO-S-MB                              Ar.ANO-S...3s2p.
Ar.ANO-S-VDZ                             Ar.ANO-S...4s3p.
Ar.ANO-S-VDZP                            Ar.ANO-S...4s3p1d.
Ar.ANO-S-VTZP                            Ar.ANO-S...5s4p2d.
K.ANO-S-MB                               K.ANO-S...4s3p.
K.ANO-S-VDZ                              K.ANO-S...5s4p.
K.ANO-S-VDZP                             K.ANO-S...5s4p1d.
K.ANO-S-VTZP                             K.ANO-S...6s5p2d.
Ca.ANO-S-MB                              Ca.ANO-S...4s3p.
Ca.ANO-S-VDZ                             Ca.ANO-S...5s4p.
Ca.ANO-S-VDZP                            Ca.ANO-S...5s4p1d.
Ca.ANO-S-VTZP                            Ca.ANO-S...6s5p2d.
Sc.ANO-S-MB                              Sc.ANO-S...4s3p1d.
Sc.ANO-S-VDZ                             Sc.ANO-S...5s4p2d.
Sc.ANO-S-VDZP                            Sc.ANO-S...5s4p2d1f.
Sc.ANO-S-VTZP                            Sc.ANO-S...6s5p3d2f.
Ti.ANO-S-MB                              Ti.ANO-S...4s3p1d.
Ti.ANO-S-VDZ                             Ti.ANO-S...5s4p2d.
Ti.ANO-S-VDZP                            Ti.ANO-S...5s4p2d1f.
Ti.ANO-S-VTZP                            Ti.ANO-S...6s5p3d2f.
V.ANO-S-MB                               V.ANO-S...4s3p1d.
V.ANO-S-VDZ                              V.ANO-S...5s4p2d.
V.ANO-S-VDZP                             V.ANO-S...5s4p2d1f.
V.ANO-S-VTZP                             V.ANO-S...6s5p3d2f.
Cr.ANO-S-MB                              Cr.ANO-S...4s3p1d.
